item_id,item_name,domain,review_text,rating
B00KW3XNUE,Magicfly Wireless RF Item Locator Key Finder 1 RF Transmitter and 6 Receivers,Mobile_Electronics,2,"Just arrived,  read instructions and attacked my #1 to key chain. Installed battery but for the life of me, was unable to CLOSE the cap. 100 times and still no go. #1 is out and apparently is broken. Tried #2 and did mange to close the cap. Have not tried #3 or #4 yet. Surely they can make a quality cover for the device. Thinking of returning the item and look for better quality battery cover. The font on the instructions are  too tiny to read, sure you can afford a larger print. No phone number or web address to contact for a replacement of #1. Hmmm...maybe you KNEW you had an inferior battery cover and  didn't care to deal with the complaints!"
B009NGR0AK,Humminbird XNT 9 28 T Transom Mount Single/Dual Beam Transducer,Mobile_Electronics,5,I bought this unit as a replacement for my portable fish finder. Works great as did the original. I replaced it because the original was accidentally damaged.
B011W26BU2,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,4,"I am giving the speakers a test drive as I write this review. I am deeply impressed by the sound quality of this little box. The high end is really nice. The bass is somewhat lacking, but, I didn't expect room-shaking bass anyway. These are a keeper!!!"
B00PAP68WO,Foxnovo 3.7V 380mAh 25C Rechargeable Lipo Battery for Hubsan X4 H107 Ladybird RC Quadcopter (Blue),Mobile_Electronics,5,Met my application needs very well.
B0105XU088,AUSDOM AD170 Car DVR Dashboard Camcorder + G-Sensor + 2.0 Inch HD LCD TFT Display + 110° Viewing Angle Automobile Dashboard Camera Records in 1080p Full HD (Iron Gray),Mobile_Electronics,5,This dash cam gives me life. I am an african american and anyone with a television knows that racial profiling of minorities is a huge problem in America. I got my dash cam to record my trips but I also use it to record any police stops. So far no stops. Yay me BUT I took the scenic route to the beach and pointed my camera at the ocean as I drove. Beautiful. The video is crystal clear and vivid. I like it so much my husband wants one too. I recieved this dash cam at a discount in exchange for an honest and unbiased review of how well it performed.
B00LTCIT7Y,Astatic (302-10005) D104M6B Amplified Ceramic Power 4-Pin CB Microphone,Mobile_Electronics,2,Scratchy when keyed up
B00KGPB9ZY,AODE® 2x A Pair 42mm 3W Super Bright White Car Truck Vehicle COB LED Bulbs Festoon Interior Dome Map Lamp Front Number Plate Light 130189,Mobile_Electronics,5,Great
B00PHZS078,"1 - Mini Bluetooth Speaker, Blue",Mobile_Electronics,5,"This was a gift from a friend a year ago and I thought it would be just an average little speaker. For my surprise, this product is awesome, sounds great and I would definitely consider buy another one."
B00XWY8MO2,"(2) Skar Audio VD-10 D2 500 Watt RMS Dual 2 Ohm 10"" Shallow Subwoofers",Mobile_Electronics,5,i love the sound of skar and in the right box these are louder than any PSI around.. i have had 1 10' skar vd in a ported box for a &#34;SINGLE CAB CHEVY&#34; and iv out beat many larger systems... its a great product and i will stay with skar before i go back to kickers
B00HR0ZTD4,"Fm Transmitter, Keedox Car Radio Transmitter Car kit with 3.5mm Aux Audio Input, Car Charger Adapter for Apple iPhone 6s Plus, 6s, Samsung and More",Mobile_Electronics,5,Can't go out with it!!!! best gadget for music lovers...
B00MXET7NC,"BaoFeng M-1 Commercial Holster for UV-82 : Custom Leather, Vinyl, Stainless Steel Case",Mobile_Electronics,4,Was everything I expected
B00LHXWPI4,Supersonic SC-807 Bluetooth CD/MP3/Cassette Player,Mobile_Electronics,1,"I was excited to get this product because it looked versatile and cute and I thought I could take it with me on the road.  However, after receiving it and trying it out I was disappointed to say the least.  The volume button does not work at all.  It is really stiff and difficult to move manually.  The control works, but it is small and could get lost if one is not careful.  The capacity for sound is limited.  Also the cables to connect the speakers were flimsy and not working properly.  Overall very disappointed with this purchase.  I contacted amazon for return and found out that we are responsible for shipping costs with this seller. I Found out the cheapest UPS ground services to be after packaging close to $30.00! This is crazy to have to pay this for a defective product.  So save your money and headache and buy something else.  Trust me, I hate to give bad reviews, but this is a sound equipment that you should skip!"
B00TQYCU0Y,"Garmin nüvi 65LM 6-Inch GPS Navigators System with Spoken Turn-By-Turn Directions, Preloaded Maps and Speed Limit Displays - Lower 49 U.S. States (Certified Refurbished)",Mobile_Electronics,5,"Outstanding, great price and I like the larger screen"
B011W26BU2,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,5,Nice little unit with great sound.  Built well and easy to use - great for travelling.  The hands-free phone feature is a nice plus.
B00VU7PGPQ,[New Element Series] iXCC MicroUSB cables,Mobile_Electronics,5,Life savers
B00VBBLOJI,"Bluetooth Transmitter, AUKEY Portable Wireless Stereo Music Transmitter Adapter with A2DP and AptX, Simultaneously Pairing with Two Headsets for TV, PC, iPod, MP3, and other 3.5mm Audio Devices (BT-C3)",Mobile_Electronics,5,"Great range, about 30-50 feet, very clear, works with any audio input jack whether on an iPod, iPad, or computer monitor. Love it"
B00U7XE03I,Cambridge SoundWorks OontZ Angle 2 [The PLUS Edition] Ultra Portable Wireless Bluetooth Speaker with Built in Mic up to 15 Hour Playtime works with iPhone iPad tablet Samsung and smart phones (RED),Mobile_Electronics,5,My family and I like it so.much it has a good sound and we can take it anywhere we want.
B00IK9UZXA,"MOCREO&reg; Wireless Portable Bluetooth Stereo Music Transmitter (Not A Bluetooth Receiver) for 3.5mm Audio Devices (iPod, MP3/MP4,TV, Media Players...) + 3.5mm Audio Cable + USB Power Cable (Black)",Mobile_Electronics,5,Works as advertised.  Pairs easily and re-pairs without effort.
B00KW52PGA,Blueskysea Free Gift Gel Pen + G1W-C G1W PRO Car Dash Camera DVR NTK96650 Chip AR0330 Lens Capacitor Vision No Battery +Rear View Mirror Mount,Mobile_Electronics,4,"Good dashcam.  This is my second G1W-C.<br /><br />Likes: 1080p max resolution, rearview mirror mount, nice screen, no battery, affordable, free pen.<br /><br />Dislikes: loses time/date if car is parked for a few days (no battery, only capacitor), UI controls are tricky, free pen."
B00911E7EO,Professional Tactique Military Police FBI Flexible Throat Mic Microphone Covert Acoustic Tube Earpiece Headset With Finger PTT for Kenwood Pro-Talk XLS TK Two Way Radio 2pin,Mobile_Electronics,5,I just love this item. Thanks and plan to get more from this provider.
B00HNOWHRU,Kobo eReader Touch Black,Mobile_Electronics,5,The big advantage that the Kobo has over the Kindle is that pubic libraries do not support Kindle.  You can not use a kindle to download books from your local library.
B00Z0GRGFG,Generic Mobile NL-550-WHITE Transceiver Antenna,Mobile_Electronics,1,"First off, we need the operating band this is designed for.  It is not foldable or collapsable.  Also need the connector type.<br />You will not sell many of these without supplying more information."
B00JP7TCDK,EC TECHNOLOGY? New design Backup External Battery Pack and Charger (Power Bank) with flashlight,Mobile_Electronics,5,"I bought this primarily to be used as a flashlight and it has worked out well over the last five weeks. I've run it for twenty hours continuously before deciding it was starting to dim. The nice thing about LEDs is the light stays white unlike a filament-type bulb. The light from this device is more than adequate when I'm out on a dark night. Then my phone charger replenishes it once it runs down. The flashlight switch does stick up just a little bit so it is possible for it to be inadvertently switched on (push-on/push-off) while in a pocket or pack.<br /><br />For recharging purposes, the battery capacity in this device is small. Although the battery capacity is spec'd at 2600 MaH, you will never get that amount into the device you are charging. The process of up-converting the charger's battery voltage (~3.7 vdc) to the USB standard (5 vdc) and back down to battery voltage (~3.7 vdc) in the device being charged results in some losses. A good budgetary figure is to plan on transferring 70% of the source battery capacity into the device being charged. So if your phone's battery is spec'd at 2500 MaH, you will need at least a 3600MaH battery in your charger to fully charge the phone's battery. This is true for all battery-driven chargers, not just this one. Or you can shop for a charger whose battery capacity is 150% of the device you need to fully charge - it's that simple."
B011W26BU2,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,3,I have another Bluetooth speaker from another maker and this one was very easy to use but the volume  up louder doesn't sound as good as the other one.
B005LF67OC,BestDealUSA Universal Am-Fm Am Fm Hidden Windshield Antenna Car Radio,Mobile_Electronics,5,X x vc&#34;ccc
B00W2S9MBG,"Pioneer 6.2"" Double DIN 2DIN Touchscreen AM/FM DVD MP3 WMA CD Player USB Bluetooth with JDM 170° Rear View Back-up Camera",Mobile_Electronics,5,"Sounds awesome and works great, pioneer coming in clutch."
B00XKM57WQ,"Dashboard Camera, SplashETech Mini 0806 Dash Cam *World's Smallest Dashcam W/ Screen* Amba A7LA50 + OV4689, HDR, Full HD 1296P, Car Video Recorder, Dvr Car Camera with GPS Logger + MLC TF Card",Mobile_Electronics,5,"This is my first Dashcam and I love it!  This was much smaller that I thought, but the smaller the better, can't be seen easily by others.  I live in the city, lots of cars, stop lights and traffic.  Though I have not had accident since having installed this, I have reviewed footage and image was super clear for daytime video and better that I expected, very clear night vision.  I can see how this dashcam can come in handy for so many instances that could happen.  It was easy to install, we used a silicone adhesive for that extra security.  I think this dashcam is a good buy and I think everyone should have one these days.  I was able to try this at a discount for my honest review."
B005C0URVU,KIA to Ipod Iphone A/v Charge Adapter for 2009-2012 Soul Optima Rio Sportage Sorento Sedona,Mobile_Electronics,5,The cord did it's job and locks into your ipod/phone pretty well. I am able to pull my ipod to me by the cord which is nice.
B00QGFRDWG,"Insten Premium Black Thick Gel Silicon Skin for the Microsoft Zune HD 16, 32",Mobile_Electronics,4,"Good product so far, it fits my Zune very well."
B00QJL2TF8,Memorex Personal CD Player System with LCD Display 60-Second Anti Skip and Ear-Buds- Easy-to-open Packaging,Mobile_Electronics,3,"Like all portable players, leaves much to be desired. Good for the battery usiness"
B00E1BRITU,"Pioneer Class FD 4-Channel Bridgeable Amplifier w/1,200 Watts Max Power, Model GM-D8604",Mobile_Electronics,5,it is an excellent product easy to install worth the price
B00MJCDPM2,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,5,I am really enjoying this speaker. I was unsure if it was as good as some of the reviews gave it but I am very pleased with the sound quality and the value.
B00LAG4HN4,"iXCC Element II Lightning Cable 6ft, iPhone Charger, for iPhone 7 6s 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](White and Black)",Mobile_Electronics,5,"Good, strong, and 6 feet long."
B00XHAR9GI,"Towallmark 7"" HD Car GPS Navigation 4G 128M Touch Screen Multimedia Player Free Map Update",Mobile_Electronics,5,Big screen is nice once the store contacted me on how to have voice directions
B00NPMEZOM,G.G.Martinsen 8GB Slim 1.78'' Screen MP3/MP4 Player Media/Music/Audio Player with Silver color,Mobile_Electronics,5,"I bought this as a gift for a friend.  I loaded a bunch of songs on it before giving it to her.  It was easy to load and seemed really easy to use, too.  User friendly, I guess is the right term.  I have an MP3 player I bought elsewhere but this one looked a lot nicer than mine.  My friend loved her gift.  She thought I spent a lot of money on it but really, the price was very reasonable."
B000MPMHMW,Humminbird 7400931 MHX XNT Transom Mounting Hardware Kit,Mobile_Electronics,5,Exactly what I needed
B00EPRT4BA,"Pwr+ Car Charger for Satechi, The OontZ, Angle, Cambridge SoundWorks BT Wireless Bluetooth Portable Speaker System Power Supply Adapter Cord",Mobile_Electronics,1,Does not fit XL
B011NH6I18,USTEK&reg; GPS Sun Shade Glare Shield Sun Visor Screen Protector for Universal Car GPS Applicable for Most Sedans and SUVs,Mobile_Electronics,3,"I'm not sure what the use case is for this device. A build-in, dash-mounted display is generally pretty well shielded from glare by virtue of its location. A GPS on top of the dashboard and closer to the windshield may suffer from glare problems, but this sunshade needs to be taped to the GPS to stay in place. Overall, I would say this is a solution in search of a problem, overpriced for what it actually does.<br /><br />Disclaimer: I received an evaluation unit in exchange for a fair and honest review."
B00UG3T8QS,"Willgoo Mini 0806 Ambarella A7 Chip + Ov4689 Sensor, 1296p Car Dash Camera DVR + GPS Logger + CPL Filter + Hardwire Kit",Mobile_Electronics,2,"Purchased two of these based on a wide variety of reviews. The first one failed within a couple of hours of use, and the second one failed today.  The first one was replaced by Amazon and I haven't had a chance to use it much. This second one will simply be returned for a refund. The recording it made were excellent.  But what good does it do to have something that is unreliable?  Too bad."
B008MY1F8W,INPA K+CAN K+DCAN Car Diagnostic tool Cable OBD USB Interface for BMW R56 E87 E93 E70,Mobile_Electronics,5,Great product but long shipping.
B00DWNXTNM,The Fashion Army Green 3in1 Whistle with Compass & Temperature Display,Mobile_Electronics,2,The compass is not reliable.  I don't really know if it works
B00SF4YGCG,"Bundle 4 in 1 Essential Home and Car Charger Kit for iPhone 5 5C 5S, iPhone 6 6 Plus, iPad 3 4, iPad Mini, iPod Touch 5/Nano 7, 8 pin to USB -- Includes : 2 X 3ft Lightning Cable, 1 X Car charger, 1 X Wall charger (black)",Mobile_Electronics,2,I was very disappointed! The charger will not charge my phone because it won't keep a charge. It very cheap looking and poor quality. It wasn't worth the money but you get what u pay for so I just went by to the Apple Store.
B00UVCYM7E,"Sporthway® 2.4Ghz 30fps wireless WIFI Camera Transmitter video transmitter for Car Reverse Bakup CCTV Camera , Support iPhone IOS/ Android system phone",Mobile_Electronics,3,"Sometimes gets &#34;laggy&#34;. It was fron China which seller didn't indicate. I had lots of other products from China that had quality issues with electronics  overheating, shorting and just under performing. This unit didn't get hot and so far is working as advertised. My only concern because the app is a Chineese developed app, just don't know if the unit-app snoops my device. Have no way of knowing either:"
B00S6AZAII,"High Quality Wall Travel Home Charger Adapter with 1m (3ft) Lighting Cable for iPhone 5 5s 5c, iPhone 6 6 Plus, iPad 4 Mini, iPad Air, iPod Touch 5/Nano 7 (White)",Mobile_Electronics,1,After plugging in my phone an alert came on saying &#34;this is not a legal device and will not charge your phone&#34;.  Hassle to return it but just beware to anyone thinking of buying it.
B00LAG4HN4,"iXCC Element II Lightning Cable 6ft, iPhone Charger, for iPhone 7 6s 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](White and Black)",Mobile_Electronics,5,"Apple makes their charging products with inferior quality to profit off of loyal customers when they are forced to repurchase. Save your money here, these are exactly what I was looking for, made with excellent materials at the joints between the cable and plug-in. Well worth it, added length and color options are a plus."
B00RDCMYCU,Bluetooth Shower Speaker – SoundPal Water Resistant Wireless and Hands-free Speaker with Suction Cup - Compatible with All Bluetooth Devices,Mobile_Electronics,2,"This thing doesn't stick to the wall. It takes forever to connect to my phone, but forget trying to have two different people using two different phones intermittently. Frankly, the sound quality isn't great either and my phone has better speaker and sound quality."
B00EDYTN8E,Retevis RT-5R 2 Way Radio 5W 128CH UHF/VHF 136-174/400-520 MHz Dual Band Dual Standby DTMF/CTCSS/DCS FM Ham Radio (2 Pack),Mobile_Electronics,5,A gift so I cannot give much information about them. They look great and came on time though.
B00S7KOA56,Car Alarm 2015 New 5.0 Inch Touch Android GPS Wifi Rearview Mirror Fm G-sensor FHD 1080p Rearview Mirror Dash Cam Car DVR Dual Camera GPS,Mobile_Electronics,5,Love love love loved it
B00BHZU9PS,Jensen JiSS-120i Portable Docking CD Music System for iPod and iPhone,Mobile_Electronics,5,the unit fully met my expectations. Delivery was prompt.
B00CNIE31E,Wisedeal Car Vehicle Blackbox DVR Camera Recorder Full HD 1080P 2.7 Inch TFT Screen With Wide Angle 140 Degree（Black),Mobile_Electronics,1,"I feel that the DVR is working good but the battery inside is not good as short time, I bought this DVR and used only in 2 two days the battery dead.<br />and the cover out side has been coming out of the DVR. please make it better to get your market!!!"
B00SF1SB0W,"ACE DEAL MN03-8G Slim Mp3 Mp4 Player with 8GB LCD Screen,mp3,mp4 music media movie player in Blue Color",Mobile_Electronics,3,"Stores a lot of music, it sounds good. It is very very difficult to maneuver the menus, not intuitive and the instructions are too minimal. It seems like all the features work, but being able to use them is a lot of work."
B00ZJAAM72,"Best Apple Watch Charging Stand for 38mm and 42mm from ZIVACHI, Highest Quality, Lightweight and Portable, for Home and Office, Non Slip Surface and Bottom. Protection from Scratching. (Black)",Mobile_Electronics,5,satisfied
B00MWGREM2,0 Gauge Amp Kit Amplifier Install Wiring 1/0 Ga Power Installation Cables 4000W,Mobile_Electronics,5,Easy to use
B00FL1TDOC,iDeaUSA High-Speed HDMI Cable Gold Plated 9 Feet & 3 Feet HDMI Cable Pack with Mini HDMI Adapter ¡­,Mobile_Electronics,3,"The speaker looks nice and was easy to set up. However, the description states it can be up to 30 ft away from your bluetooth device and it's really only about 10 ft or it constantly loses connection."
B00MXET7NC,"BaoFeng M-1 Commercial Holster for UV-82 : Custom Leather, Vinyl, Stainless Steel Case",Mobile_Electronics,5,Very good. good  seller
B00B0XK58I,HDE Music Angel Rechargeable Mini Party Travel Speaker with Micro SD Slot (Hot Pink),Mobile_Electronics,1,EXCELENTE PRODUCTO
B00XR8A9P8,Aizbo Music Audio MP3 Interface MDI MMI AMI to USB Cable Data Sync Charging Adapter For AUDI A3/A4/A5/A6/A8/S4/S6/S8/Q5/Q7/R8/TT & VW Jetta/GTI/GLI/Passat/CC/Tiguan/Touareg/EOS,Mobile_Electronics,3,ok
B00ZI2OUPQ,"Waterproof Case, E LV Universal Waterproof Case For Apple 6 Plus, 6, 5S, 5, 4S, Galaxy Note 5, 4, 3, 2, Galaxy S6 Edge, S6, S5, S4 S3, HTC One, iPod touch, MP3 Player and many more (Fits other Smartphones up to 6.0"" diagonal) - IPX8 Certified to 100 Feet (6 INCH HOT PINK)",Mobile_Electronics,5,Awesome product
B00YQ6VBD4,Transcend TS16GDP200M 32GB Drive Pro 200 Car Video Recorder with Suction Mount + Bonus 16GB SD Card + Exclusive P7 Cleaning Cloth,Mobile_Electronics,5,Good Dashcam; gives nice clear video
B00R9CNAGS,Szstudio BMW 1SERIES 3SERIES 5SERIES 6SERIES 7SERIES 8SERIES E46 E90 E39 E60 E38 E53 X1 X3 X5 X6 Z3 Z4 Z8 MINI COOPER Rear View Back up Camera Hd CCA Lens Night Vision Parking Lines Water Proof 170 Degree Vision Comes with Long Extension Cord,Mobile_Electronics,5,Nice
B00J3ZP634,Beats by Dre Pill 2.0 Red/Black Bundle | Red Speaker w/Black Pill Dude,Mobile_Electronics,3,Sounds great but still over priced
B00QERR5CY,iXCC Multi pack Lightning cable,Mobile_Electronics,1,Two failed
B00J3ZP634,Beats by Dre Pill 2.0 Red/Black Bundle | Red Speaker w/Black Pill Dude,Mobile_Electronics,4,Works great! Loud. Very impressed
B011W26BU2,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,5,Is everything I expected and then some
B00YNMXBDE,All Power Supply RD2824 2800 Watt- 24V Inverter - 80 Amp PFC Charger,Mobile_Electronics,4,UNIT WORKS SIMILAR TO ONE IT IS REPLACING. THIS UNIT ONLY APPEARS TO HAVE A 100 WATT OUTUT. I CHECKED WITH MANUFACTURER THEY THOUGHT IT COULD BE MY VOLTMETER. ALL MY APPLIANCES WORK. THERE IS A HUM COMING FROM THIS UNIT AS WELL AS THE PREVIOUS ONE I HAD.
B0047SK8GM,Cassette Tape Adapter For Apple Ipod Mini-3.5mm,Mobile_Electronics,5,surprised it STILL works
B007UXNHNM,"eForCityLeather Case for Barnes and Noble Nook Simple Touch with GlowLight , Black",Mobile_Electronics,5,My dad did like this case for his Nook I bought him.
B00SU7B0JK,iXCC Multi pack Lightning cable,Mobile_Electronics,1,"I've bought a lot of products on Amazon...like we purchase several times a week.  In most cases, we get what we expect.  I was skeptical in purchasing these and saw mixed reviews, but these guys claim to be &#34;Apple MFI Certified&#34; and are &#34;genuine&#34;.  Well...BUYER BEWARE!<br /><br />I purchases these in early July, one for each vehicle so we can keep our phones charged.  I bought them when I did because we were going to take a family trip and I wanted to have something in the car to keep devices charged on the go.  I received these two days before we left, but really didn't get to use them until the trip.  Then, just two days in to the trip, the pins on both sides turned black and the cable STOPPED working.  I'm not sure if I did something wrong, but other cables I've used in the same way (especially the one that came with my iPhone 5c) have worked WITHOUT ISSUE.  Needless to say, just two days in to our trip and we are down a cable, I was more than a bit peeved.<br /><br />If you purchase these from this seller, it is at your own risk and will be a complete gamble.  I highly recommend to keep looking and steer clear of these guys.  The worst part now, is that I have passed the one month window to return these because once back from my trip, I've had to deal with some work emergencies.  So I've basically just wasted my hard earned money on garbage, with no more option for refund."
B00MFM89XQ,"Lumsing&reg; Portable Wireless Bluetooth Speaker with NFC Built-in Microphone, Powerful Sound Rechargeable Battery up to 1 Day Playtime",Mobile_Electronics,1,Poor quality and low sound output for its size.  A real disappointment.
B00NPPS86A,"Apple iPad Air Case,Hot sale For iPad Air Smart Case Cover,SmartShell Case for Apple iPad Air",Mobile_Electronics,5,"I bought this Mount Holder for my iPad for the trip to Orlando and to stop holding my iPad with my hands all the time. The iPad Air, what I have, fits very well and feels very secure in this case and I love the idea of having my hands free, the material feels very resistant and keep it in the car that way I don't forget to pack it for any long ride or trip"
B00J46XO9U,"iXCC Lightning Cable 3ft, iPhone charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](Black and White)",Mobile_Electronics,4,Very good quality. So far so good.
B00XXOMOT0,"LAAGIE BMW & MINI Cooper Y cable iPod iPhone 5 5S 5C iPad Lightning Cable cord to USB & 3.5mm AUX Cable adapter Lead Wire BMW MINI Cooper 3.5mm USB Interface Adapter Cable For Iphone 5 6 6plus Ipod Ipad USB AUX Interface Adapter Cable Lighting For BMW Series MINI For APPLE IPHONE 6,IPHONE 6 PLUS,iPHONE 5 5S 5C Ipod Ipad",Mobile_Electronics,1,The worst quality. I only used it twice and its already done. Won't transmit the sound. I'm so mad... I keep my things nice and I'm careful with my my gadgets. I wasn't expecting it to preform so poorly... Very dissatisfied...
B00PHBV038,"Bluetooth Transmitter and Receiver, Disnix BTT009 Bluetooth Wireless Transmitter and Receiver 2 in 1 Adapter, with 3.5mm Audio Jack For TV, Desktop, Laptop, Tablet, MP3 / MP4 Player, CD and DVD Players, Portable Speakers, Headphones, Home stereo, Car Music Sound Systems and more other 3.5mm Audio Devices-Black",Mobile_Electronics,4,"good, I converted my idle speakers into bluetooth speakers where I can play songs from my phone."
B00O0CLSQE,The Highest Quality Portable AM/FM Radio BLACK,Mobile_Electronics,4,"It was listed as having a remote-antenna jack, which it does not have. Otherwise, works well, with limited, indoor A/M reception."
B00TDAY5ZE,IBELL 2Pcs of Baofeng BF-888s Two Way Radio Compatible Intercom with FRS/GMRS Motorola Uniden Midland etc Walkie Talkies,Mobile_Electronics,4,"Thwy work great especially for the price. I mainly got these to use as an alternative for a baby monitor because of the vox setting. Thought was i could go around the house, the garage, the yard.  And still hear the little one. But the vox gain is not sensitive enough to hear her until she is really mad. Even after buying the cable and adjusting the vox gain to the max. So it didn't work for that.  But camping, sending them with the kids while there playing, and letting the kids just play with them. I got my money out of them."
B001UIVV72,"iPod USB Travel Home Charger For Nano, Shuffle, 4G, Mini, Photo and U2",Mobile_Electronics,1,Sorry to say this did not charge our i-pods at all. Darn.
B00X8M0Y3K,Sony CFDS05/CF CD Radio Cassette Recorder Boombox Speaker System (Certified Refurbished),Mobile_Electronics,4,"it came packed very well in two boxes. The radio looks new, but it is missing the antenna, I can use the one from my old radio. But it still works great"
B00UJ9X004,"Esky Car Backup License Plate CMOS Wide Angle Camera with 7 LED Night Vision + 4.3"" TFT LCD Portable Adjustable Rear View Monitor Screen",Mobile_Electronics,5,"Very good unit put it in my wifes 2014 jeep , she loves it."
B00UYRZIJ2,iphone 6 cable,Mobile_Electronics,5,very good
B009NW0934,HDE Music Angel Rechargeable Portable Mini Party Travel Speaker with Micro SD Slot (Black),Mobile_Electronics,5,"This Portable speaker was for a christmas present for my mom, she was looking for something small but at the same time with a good volume she is happy with it and I am happy too!"
B0055BJB36,"RAM Mount 2-1/2"" Diameter Base w/1.5"" Ball",Mobile_Electronics,5,This mount was a replacement for a previous RAM mount that broke. It fits and functions just as expected - very well !!
B007XO5MZO,"Generic Penguin Silicone Case Cover Protector and Nc Capacitive Stylus Pen for Apple Ipod 4 Touch, Purple",Mobile_Electronics,5,my daughter loves this case
